ticket_id,client_id,department,opened_date,resolved_date,sla_hours,priority,agent_id,resolution_hours,sla_met,opened_week,month_opened,ticket_age_days,priority_level,client_name,industry,location,agent_name,team,seniority_level
T0091,C020,IT Support,2025-01-23 13:28:22,2025-01-23 15:02:58.417921,48,Medium,A029,1.5767827558333334,1,4,2025-01,99,2,"Garza, Lewis and Wilson",Education,Rodriguezburgh,Sherry Phillips,Tier 1,Senior
T0092,C006,Networking,2025-01-07 07:25:01,2025-01-07 14:16:39.277889,24,Medium,A005,6.860632746944445,1,2,2025-01,115,2,Ward Ltd,Finance,Dicksonburgh,Kimberly Harvey,Tier 3,Junior
T0093,C030,Networking,2024-12-22 09:39:36,2024-12-24 07:16:45.814584,48,Medium,A005,45.619392940000004,1,51,2024-12,131,2,"Santana, Booth and Spears",Education,North Michele,Kimberly Harvey,Tier 3,Junior
T0094,C001,Networking,2025-03-16 02:48:01,2025-03-16 04:04:58.357156,48,High,A017,1.28259921,1,11,2025-03,47,3,"Reese, Brown and Carpenter",Education,North Chasefort,Brandi Fernandez,Tier 2,Senior
T0095,C025,Networking,2025-04-07 07:33:31,2025-04-08 06:15:09.087649,72,High,A017,22.69391323583333,1,15,2025-04,25,3,Rivera LLC,Healthcare,East Justin,Brandi Fernandez,Tier 2,Senior
T0096,C035,Security,2025-04-28 18:36:05,2025-05-02 10:03:59.440031,48,Low,A016,87.46512223083333,0,18,2025-04,4,1,"Hill, Kirby and Alvarado",Retail,Derekchester,Erica Rich,Tier 3,Senior
T0097,C005,Security,2024-11-29 09:20:49,2024-11-29 13:06:27.843744,48,Medium,A003,3.760789928888889,1,48,2024-11,154,2,Molina and Sons,Technology,Clarkport,Michael Lloyd,Tier 1,Junior
T0098,C037,Networking,2024-11-23 23:33:02,2024-11-25 14:27:42.595209,72,High,A017,38.91127644694444,1,47,2024-11,160,3,Bowen-Jones,Retail,East Alicia,Brandi Fernandez,Tier 2,Senior
T0099,C001,Security,2025-04-21 04:13:52,2025-04-21 17:28:21.519757,48,Low,A004,13.241533265833334,1,17,2025-04,11,1,"Reese, Brown and Carpenter",Education,North Chasefort,Michelle Allen,Tier 3,Mid
T0100,C032,Networking,2024-12-09 19:30:40,2024-12-10 07:58:19.523752,48,Medium,A008,12.460978820000001,1,50,2024-12,144,2,"Navarro, Franklin and Mosley",Education,Victoriaview,Jacqueline Smith,Tier 2,Junior
T0101,C003,Security,2025-04-22 19:51:09,2025-04-22 20:55:45.685844,48,Medium,A001,1.076857178888889,1,17,2025-04,10,2,Herrera Inc,Retail,Erikahaven,Lisa Dennis,Tier 3,Mid
T0102,C030,Security,2025-01-24 23:54:35,2025-01-26 14:26:30.911766,48,Medium,A016,38.53219771277778,1,4,2025-01,98,2,"Santana, Booth and Spears",Education,North Michele,Erica Rich,Tier 3,Senior
T0103,C037,IT Support,2025-01-14 04:13:46,2025-01-15 11:37:19.769435,48,Medium,A011,31.392713731944443,1,3,2025-01,108,2,Bowen-Jones,Retail,East Alicia,Eric Morris,Tier 2,Junior
T0104,C034,Networking,2025-02-21 10:25:58,2025-02-21 21:55:40.402076,24,Medium,A018,11.495111687777777,1,8,2025-02,70,2,Johnson-Baldwin,Healthcare,Yangborough,Amy Santiago,Tier 2,Senior
T0105,C034,Cloud Services,2025-03-01 22:19:31,2025-03-02 22:13:42.266714,48,Medium,A001,23.903129642777778,1,9,2025-03,62,2,Johnson-Baldwin,Healthcare,Yangborough,Lisa Dennis,Tier 3,Mid
T0106,C042,Security,2024-11-23 12:18:52,2024-11-26 13:47:46.636279,48,Medium,A029,73.48184341083333,0,47,2024-11,160,2,"Martinez, Ramirez and Bailey",Healthcare,Williamsville,Sherry Phillips,Tier 1,Senior
T0107,C010,IT Support,2025-02-05 09:11:41,2025-02-05 16:49:50.348745,72,Low,A024,7.635930206944444,1,6,2025-02,86,1,Thompson Group,Technology,West Loganchester,Kaitlyn Patrick,Tier 3,Junior
T0108,C002,IT Support,2025-03-06 00:40:40,2025-03-06 02:55:52.302503,48,Low,A011,2.2534173619444444,1,10,2025-03,57,1,"Dunn, Gomez and Harmon",Technology,Fordhaven,Eric Morris,Tier 2,Junior
T0109,C023,Security,2024-12-17 09:48:00,2024-12-17 22:58:55.799220,24,Medium,A011,13.18216645,1,51,2024-12,136,2,Reese and Sons,Education,East Tinaside,Eric Morris,Tier 2,Junior
T0110,C040,Cloud Services,2025-01-11 11:17:33,2025-01-11 18:27:59.699415,48,Medium,A003,7.174083170833333,1,2,2025-01,111,2,Graves-Garner,Finance,Nicoleberg,Michael Lloyd,Tier 1,Junior
T0111,C032,Networking,2024-11-30 22:36:49,2024-12-05 02:09:55.720951,48,Medium,A019,99.55186693083333,0,48,2024-11,153,2,"Navarro, Franklin and Mosley",Education,Victoriaview,Gina Garcia,Tier 2,Junior
T0112,C028,Networking,2025-04-23 01:47:21,2025-04-23 03:47:31.462356,24,Low,A021,2.00290621,1,17,2025-04,9,1,"Lee, Frye and Gonzalez",Finance,Butlermouth,Dakota Smith,Tier 2,Senior
T0113,C012,Networking,2024-11-03 14:11:16,2024-11-05 04:22:45.511488,48,High,A017,38.191530968888884,1,44,2024-11,180,3,Dominguez-Steele,Retail,Georgemouth,Brandi Fernandez,Tier 2,Senior
T0114,C009,Networking,2024-11-13 15:16:32,2024-11-15 00:52:32.895917,48,Medium,A025,33.600248865833336,1,46,2024-11,170,2,Henry-Miller,Retail,Port Joshuashire,Heather Eaton,Tier 2,Mid
T0115,C043,Security,2025-01-07 10:13:35,2025-01-09 18:06:04.968863,48,Medium,A017,55.87499135083333,0,2,2025-01,115,2,Clark PLC,Education,Jenniferfurt,Brandi Fernandez,Tier 2,Senior
T0116,C049,Security,2025-01-23 12:14:57,2025-01-24 03:48:34.758492,72,Low,A015,15.560488470000001,1,4,2025-01,99,1,Thomas Ltd,Finance,Cabreraport,David Perkins,Tier 1,Junior
T0117,C014,Networking,2025-01-12 10:15:29,2025-01-13 23:10:37.166417,72,Medium,A014,36.918935115833335,1,2,2025-01,110,2,Mendez Group,Finance,Shannonbury,Courtney Thompson,Tier 2,Junior
T0118,C014,Security,2024-12-11 19:32:18,2024-12-13 01:20:27.983674,72,Low,A007,29.80277324277778,1,50,2024-12,142,1,Mendez Group,Finance,Shannonbury,Veronica Vargas,Tier 1,Junior
T0119,C043,Security,2025-03-06 07:26:46,2025-03-08 15:13:33.596720,72,Low,A018,55.779887977777776,1,10,2025-03,57,1,Clark PLC,Education,Jenniferfurt,Amy Santiago,Tier 2,Senior
T0120,C015,Cloud Services,2025-01-23 21:09:10,2025-01-25 01:37:25.152923,48,Low,A005,28.470875811944445,1,4,2025-01,99,1,Watson LLC,Education,Josephhaven,Kimberly Harvey,Tier 3,Junior
T0121,C017,Security,2025-02-16 16:15:46,2025-02-17 01:55:20.279311,48,Low,A030,9.659522030833333,1,7,2025-02,75,1,Pollard-Simmons,Education,South Codyfurt,Kathleen Sullivan,Tier 1,Junior
T0122,C020,IT Support,2025-03-31 07:24:56,2025-03-31 13:32:18.904248,72,Medium,A003,6.123028957777778,1,14,2025-03,32,2,"Garza, Lewis and Wilson",Education,Rodriguezburgh,Michael Lloyd,Tier 1,Junior
T0123,C036,Security,2024-11-18 00:23:32,2024-11-20 02:37:21.057708,48,Medium,A015,50.23029380777778,0,47,2024-11,166,2,Medina-Taylor,Technology,New Joshuabury,David Perkins,Tier 1,Junior
T0124,C019,Networking,2024-11-28 19:03:08,2024-12-01 12:43:35.836914,48,Low,A006,65.67439914277779,0,48,2024-11,155,1,Smith Ltd,Healthcare,Jamesville,Laura Ward,Tier 2,Junior
T0125,C045,Networking,2024-12-23 07:13:45,2024-12-27 21:35:03.478018,48,Medium,A001,110.35513278277779,0,52,2024-12,130,2,"Holmes, Pace and Gomez",Finance,West Carolynberg,Lisa Dennis,Tier 3,Mid
